==>Arguments:
arch:plus
checkpoint:./checkpoints/
datapath:./data/
epochs:100
evaluate:False
gamma:0.1
gpu_id:1
lr:0.01
momentum:0.9
reg:0.0001
schedule:[70]
train_batchsize:64
val_batchsize:16
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	2.017496	1.902427	43.838814	55.631531	
0.001000	2.018274	1.907480	43.797863	55.043793	
0.001000	2.018440	1.904486	43.782845	55.358788	
0.001000	2.019796	1.903513	43.575356	55.508602	
0.001000	2.021128	1.904318	43.531673	55.493237	
0.001000	2.019232	1.902931	43.741894	55.550858	
0.001000	2.021388	1.903391	43.460693	55.596958	
0.001000	2.018992	1.900816	43.706402	55.719883	
0.001000	2.020944	1.901179	43.509834	55.677628	
0.001000	2.015892	1.895911	44.095444	56.253841	
0.001000	2.017578	1.894661	43.964397	56.480484	
0.001000	2.019142	1.899694	43.729607	55.938843	
0.001000	2.021518	1.897470	43.466152	56.057926	
0.001000	2.017838	1.900310	43.801956	55.854332	
0.001000	2.019529	1.901344	43.651802	55.877380	
0.001000	2.020117	1.907730	43.640881	55.074524	
0.001000	2.019428	1.900427	43.589008	55.892746	
